text,published,source,sentiment
Erik out,2025-12-18T08:57:32Z,Youtube,Negative
"Sudah tidak lagi mengikuti timnas Indonesia, karena siapapun pelatihnya jika PSSI dan Exco nya masih sampai kalian punya cucu ga akan bisa maju dan berkembang",2025-12-18T11:58:06Z,Youtube,Negative
timnas tidak akan maju selagi masih banyak mafia dlm PSSI,2025-12-18T12:01:03Z,Youtube,Negative
"Aku berharap, dari amerika latin...",2025-12-18T11:30:39Z,Youtube,Neutral
Sepak Bola Kita Ini Sebenarnya Milik Rakyat Atau Milik Si Erik Thohir Sih??? Panggil Kembali STY Untuk Melatih Kembali Karena Sejak Awal Kontraknya Sampai 2027 Piala Asia!!! Kenapa Gengsi mu Tinggi Rik Erik??? STY Proyeknya Iwan Bule Iya? Malah Pilih Pelatih Londo Yang Belum Tentu Terbukti Di Timnas + Gajinya Lebih Mahal Dari STY!!! Kenapa Rikkkk??????? 😂😂😂😂😂😂😂😂😂,2025-12-18T19:30:04Z,Youtube,Negative
Dn ga bakal timnas maju di sepak bola nya,2025-12-18T12:12:37Z,Youtube,Negative
Knp dia berhenti d timnas kanada ?,2025-12-19T14:01:00Z,Youtube,Neutral
Pelatih ga jelas lagi..mendibg Timur Kapadze..hadeuh.!!,2025-12-20T10:53:51Z,Youtube,Negative
SIAPAPUN PELATIHNYA KALAU GAK NGIKUT APA KATA MAFIA DI PSSI NANTI JUGA DIPECAT SEPERTI STY,2025-12-20T10:43:07Z,Youtube,Neutral
Pelatih buruk lebih buruk dari petrik,2025-12-18T11:07:44Z,Youtube,Negative
"Yg penting tdk seperti patriek yg hanya cari duit di sepbol indo tdk menghormati suporter.
 Patrik bkn pelatih sepbol.",2025-12-18T19:36:57Z,Youtube,Positive
Harusnya dari Sty langsung ke dia. Kenapa hatus nyempil pelatih pelatih tai di tengah jalan 🙄🙄,2025-12-21T09:20:25Z,Youtube,Positive
"semoga dia kuat menahan hujatan dan berisiknya suporter yang yang gk sabaran krn karakter suporter indo itu jiwa2 subsidi, bansos, BLT jd suporter indo itu jiwa2 yang instan tdk sabaran dikit2 out ekspestasi terlalu tinggi semabok agama tanpa mengukur kekuatan dibadan.wkwkwkw .",2025-12-19T04:33:12Z,Youtube,Neutral
Dipastikan Timnas Indonesia gagal lagi. Itu semua karena ketum PSSI. .ini bukan kanada .ini indo .,2025-12-18T12:20:18Z,Youtube,Negative
"GVB musti nya yg jd platih timnas.
 Makin caur deh timnas dilatih si john.
 #JOHNOUT",2025-12-18T08:28:55Z,Youtube,Negative
"1:55 boleh koreksi ya Bung, Alphonso Davies waktu di Piala Dunia 2022 itu usianya sudah 22 tahun, dan 19 adalah nomor punggung yang dia pakai saat itu 🤓
 
 jika memang John Herdman ini yang dipilih jadi pelatih timnas kita, semoga sesuai dengan apa yang kita harapkan semua🙏",2025-12-18T09:14:09Z,Youtube,Positive
"Nti pelatih odong odong odong sprt Patrick Kluivert yg datang, bukan tambah bagus malah hancur,akibat ketamak nya ketum PSSI Erick Thohir sebagai mafia bola di dalam federasi PSSI Timnas Indonesia gagal di semua game,,, baiknya Erick Thohir mengundurkan diri dari jabatan sebagai ketua umum PSSI,",2025-12-18T12:11:56Z,Youtube,Negative
"Maaf PK presiden Prabowo,BPK di pilih oleh kami rakyat indonesia,kami tolong Pak,kami ingin timnas kita masuk level dunia,tolong,bubarkan Kepengurusan PSSI ,ganti orang2 yg baru,masih banyak PK,orang2 kita yg ngerti bola,bukan pintar jadi mafia bola,",2025-12-19T05:29:03Z,Youtube,Neutral
Mau pelatih siapapun....suruh tinggal d indonesia....spt STY.jgn dpt cluiver yg goblok .....baru mo main datang k indonesia....mn ketegasan PSSI...lupakan king indo....yg ada king burger...saya kecewa sm PSSI.,2025-12-18T09:00:51Z,Youtube,Negative
"SIAPA PUN PELATIH TIMNAS KALAU BUKAN STY, SAYA TETAP PESIMISTIS.....",2025-12-18T13:10:06Z,Youtube,Negative
"#HERDEMANOUT
 
  latihan dulu kawan",2025-12-18T13:44:45Z,Youtube,Negative
"Malah sy smoga jangan Herdman ini, krn ntar kasihan dia udah bertaun2 membangun tim, eh di tengah jalan diputus kontrak dg alasan ""kendala bahasa"", kasihan jd STY part 2.. Mending GIO aja, jd kl dia dipecat ditengah jalan mau tau alasan PSSI apa krn g mungkin faktor bahasa akan jadi alasanny",2025-12-18T14:17:03Z,Youtube,Negative
"Nanti di ganti lagi,. Kacau PSSINya",2025-12-20T02:20:11Z,Youtube,Neutral
ET gak punya malu manusia rakus.!!!,2025-12-18T10:22:18Z,Youtube,Negative
Wah pendukung sty bakal kejang2 kelonjotan ... kasian juga la om binder,2025-12-19T10:55:11Z,Youtube,Neutral
"Sebagus apapun pelatih NYA, ET dan JAJARAN tetap ikut campur apalagi ada MAFIA BOLA sama saja,, STY yg bagus aja dipecat",2025-12-19T00:35:44Z,Youtube,Negative
"Udh mls,, siapa pun pelatih ny, klo PSSI AMBURADUL,",2025-12-19T17:47:54Z,Youtube,Negative
"Tpi jujur bung sya kasian buat pelatih yg akan menangani timnas, sebaik & sebagus apa pun pelatihnya klau msih ada fans fomo dari ternak TAIyong maka mereka akan banyak menuntut krn rata2 otak mereka gak waras & gk bs bedakan mana yg udah melatih smpai 5.thn & mana pelatih baru yg msih perlu beradaptasi untuk mencari formula dgn experimennya., tpi rata2 mereka gk nyadar klau junjungan mereka masuk sejarah pelatih terburuk di korsel dgn persentase kemenangan terendah & hanya menanganin 1.thn sja priode 2017/2018, TAIyong melatih lama smpai 5.thn hanya di indonesia sja itu pun 0.gelar., jdi sya lebih S7 klau timnas di latih TAIyong lagi agar sya bs meludahin mulut2 penyepong drakor klau smpai timnas cuma tetap stak di situ2 saja atau mengalami kekalahan , krna sudah gk ada alasan lagi untuk cari2 alasan lgi dgn wktu 5.thn lebih",2025-12-19T06:25:12Z,Youtube,Negative
"bukan masalah pelatih, gonta ganti pelatih sepakbola g pernah bakal pernah maju, fondasi sepakbolanya yg salah, oknum pssi gak pernah peduli akan hal itu, sibuk politik fan mafioso daripada perkembangan sepakbola, coba tambal pake naturalisasi, mau selamanya naturalisasi, ato kembali ke setelan lama lg",2025-12-18T13:43:44Z,Youtube,Neutral
"Sebegitunya PSSI ke STY, kalau pelatih baru ini sampe gagal lagi kayak PK, udah kelarin aja lah, buang2 energi dan biaya aja",2025-12-20T19:40:42Z,Youtube,Negative
Kau uga sok paham,2025-12-18T15:57:58Z,Youtube,Neutral
"Mau platih hebat apapun percuma, krn hrs yg hapal seperti sty dekat dgn pmain",2025-12-18T12:26:34Z,Youtube,Neutral
SIAPAPUN PELATIHNYA YG AKAN MELATIH TIMNAS KALAU MASIH ERIKTOHIR ARIASINULINGGA TIDAK AKAN SUKSES,2025-12-19T01:55:43Z,Youtube,Neutral
Bubarkan PSSI...,2025-12-18T13:02:42Z,Youtube,Negative
"Pelatih murah meriah pantes ogah jadi pelatih Jamaika karena tawaran gajinya cuman 800 jutaan dibawah 1 M hahaha emang harga tidak mengkhianati hasil dan beliau bersyukur sudah tak nganggur lagi soalnya sudah setahun nganggur😂😅 di kanada aja cuman digaji 600 jutaan dan sekarang digaji king Indo minimal 1 M luar biasa ngegaji pelatih yg sudah setahun nganggur😂😅
 Lumayan daripada elu manyun😁🤣🤣",2025-12-20T10:36:05Z,Youtube,Negative
"Pelatih murah meriah pantes ogah jadi pelatih Jamaika karena tawaran gajinya cuman 800 jutaan dibawah 1 M hahaha emang harga tidak mengkhianati hasil dan beliau bersyukur sudah tak nganggur lagi soalnya sudah setahun nganggur😂😅 di kanada aja cuman digaji 600 jutaan dan sekarang digaji king Indo minimal 1 M luar biasa ngegaji pelatih yg sudah setahun nganggur😂😅
 Lumayan daripada elu manyun😁🤣🤣",2025-12-20T10:36:29Z,Youtube,Negative
"Pelatih murah meriah pantes ogah jadi pelatih Jamaika karena tawaran gajinya cuman 800 jutaan dibawah 1 M hahaha emang harga tidak mengkhianati hasil dan beliau bersyukur sudah tak nganggur lagi soalnya sudah setahun nganggur😂😅 di kanada aja cuman digaji 600 jutaan dan sekarang digaji king Indo minimal 1 M luar biasa ngegaji pelatih yg sudah setahun nganggur😂😅
 Lumayan daripada elu manyun😁🤣🤣",2025-12-20T10:36:57Z,Youtube,Negative
"Pokoknya pelatih sampah IS dan BS jangan sampai masuk lagi di lingkaran timnas Indonesia dari segala penjuru, bisa rusak dunia sepakbola, saking parah nya daya hancur nya dua orang ini 😮",2025-12-19T07:15:38Z,Youtube,Negative
Kebanyakan orang pintar.yg cuma bisanya ngeritik.,2025-12-21T06:12:50Z,Youtube,Neutral
KARNA SELAMA INI EXCO YG BAYAR PELATIH..ITU WEWENANG MEREKA,2025-12-20T15:39:17Z,Youtube,Neutral
Jangan di bongkar biarin aja tak maju😂,2025-12-21T08:22:33Z,Youtube,Negative
"Sepakbola indonesia dr dlu ga maju2 krn dr dlu ketum nya sll show off dan sll one man show
 
 Futsal tnp drama2 dan haus akn validasi seperti itu nyatanya sukses",2025-12-21T04:27:17Z,Youtube,Neutral
Pssi jgn dipegang oleh orang2 partai biar tidak dibawa ke ranah politik,2025-12-21T04:34:01Z,Youtube,Neutral
Penyebab timnas ga maju ya federasi dan pundit kayak anda towel dan yg lain yg bikin hoax dan asal nuduh pelatih dan pemain.,2025-12-20T13:31:01Z,Youtube,Neutral
Makanya timnas itu tujuannya apa prestasi kah atau uang kah.....,2025-12-21T02:28:00Z,Youtube,Neutral
Sepi,2025-12-20T13:08:42Z,Youtube,Neutral
"S7 kalau pelatih lokal di libatkan, tp hrs seleksi pelatih"" yang blm pernah di ikutkan. Andai yg di libatkan hrs yg ieu"" aja ya sudah ga ada bukti",2025-12-21T04:15:45Z,Youtube,Neutral
Joy initau apa dia😂😂😂,2025-12-21T06:53:55Z,Youtube,Neutral
"Ini orang pernah main bola apa nggak ???? Ini orang pernah jadi pelatih ??? Tolong yg tahu , kasih tau dong .",2025-12-20T14:39:41Z,Youtube,Negative
DI INDONESIA SEGALA SESUATU PIKIRANYA HANYA DUIT UNTUK DI KORUPSI,2025-12-20T13:23:54Z,Youtube,Neutral
"Kenapa sepakbola Indonesia gk maju? Ya karena banyaknya pengamat"" Sepakbola sok tau kaya si anton ini salah satunya 🤣🤪",2025-12-21T07:59:03Z,Youtube,Negative
"Dari ket Sanjoyo ini ,tambah memperjelas peluang sepak bola indo di jadikan ladang untuk mencari uang dan mencari profit ,lari nya pasti ke judi bola ,KLO tidak siapa yang bayar pelatih.",2025-12-21T10:25:11Z,Youtube,Neutral
Saya rasa betul yang apa yang dikatakan om Anton 😊,2025-12-21T02:38:12Z,Youtube,Neutral
Ternyata exco PSSI kalau salah satu duitnya lagi tebal ke angkuhan kesombongan bermacam macam watak.... 🤦‍♂️,2025-12-21T05:43:07Z,Youtube,Neutral
"Pada pintar semuanya....
 Seandainya Pep Guardiola melatih timnas Indonesia juga pas nanti kalah
 
 .pasti di kritik...
 
 Apalgi sekelas Patrick",2025-12-21T05:34:07Z,Youtube,Negative
Liat aja nanti jgn di puja2 dulu belum kerja kaya kemarin hasilnya hancuurrr,2025-12-21T05:34:48Z,Youtube,Negative
"Knpa Sepakbola Indonesia Susah Maju..Karna Orang Indonesia Baik ( Media2,, Pundit2 n Suporter ) Lebih Fokus TEORI HOAX n Berdongeng Drpd Fokus Kinerja Di Lapangan..😂Senang Debat,,DRAMA2,,Ngayal n Cuma Pandai TEORI..😂Pdhl Sepakbola Itu Kinerja Solid Tim Di Lapangan Bukan TEORI BUALAN..😂",2025-12-21T02:57:37Z,Youtube,Negative
"Bung Joy, sy kira hampir semua cabor pasti ada sugar daddy/mommy, sy kira di luar negeri juga sama, yg penting ada hasil, jgn terus mentang2 ada duit seenak udele dewe, makanya gak maju2! Bayangkan bulutangkis tanpa Djarum?",2025-12-20T16:06:21Z,Youtube,Neutral
Di Indonesia kebanyakan otaknya sudah doolll rusak makanya banyak Koruptor Mafia bola itulah Indonesia,2025-12-20T13:25:47Z,Youtube,Neutral
Dukung herdman❤,2025-12-21T06:41:34Z,Youtube,Positive
BENER BANG DI PSSI PENGURUS PADA CARI DUIT DAN YG JELAS MAFIA SEMUA,2025-12-20T16:30:12Z,Youtube,Neutral
karena bola itu bandar.hhhh,2025-12-20T23:58:53Z,Youtube,Neutral
yakin sukses di indonesia,2025-12-21T08:26:28Z,Youtube,Positive
"Konsisten dengan tujuan, cita-cita, keinginan, jangan diputus tengah jalan kontrak pelatih, jajaran pelatih, pemain ke-11 & pemain ke-12. Bila melenceng benahi koordinasi, langkah & strategi. Team PSSI orang2 yg propesional.",2025-12-21T04:24:42Z,Youtube,Positive
Info nama hos yng cwek ?,2025-12-21T11:03:00Z,Youtube,Neutral
Pelatih timnas senior hnya bagian kecil dari sebuah kepengurusan sepakbola..pembinaan bibit pemain tiap lini usia yg besar dan berkwalitas lah yg hrs dibangun..berjenjang..manajemen ..keuangan yg bsr..pengawasan,2025-12-21T03:18:53Z,Youtube,Neutral
"Justru itu kendala terbesar,, mental pengusaha, mengeluarkan uang harus ada untung timbal balik,, jika mereka keluarkan uang harus ada kembalinya ke mereka yang bisa jadi penyebab timnas tidak maju yang penting mereka untung",2025-12-21T09:44:47Z,Youtube,Neutral
"Nggak usah pengamat kek tekek kek, awam jg tahu mengapa sepakbola Indo nggak maju2",2025-12-21T11:35:38Z,Youtube,Neutral
"😂😂🎉🎉Simon menegmi jilid dua selamat datang di era sepakbola purba#erickthohir #pssi #excopssi mafia bola,tukang jual negara pengkhianat bangsa iblis2 berwujud manusia penafsu fulus",2025-12-19T07:23:48Z,Youtube,Negative
"Ala... Sudahlah... Siapapun pelatihnya, Erik Thohir out! Ganti sama Bung Towel jadi ketum PSSI!! Wkwkwkwk...",2025-12-20T04:39:32Z,Youtube,Negative
HOPELESS,2025-12-18T08:26:45Z,Youtube,Negative
Canada bisa masuk ke pildun tapi di lihat dl siapa aja kompetitornya? Sedangkan ini Asia lawannya berat2 apakah dia sanggup? 😢,2025-12-18T12:29:44Z,Youtube,Negative
Ini bukannya biasa ngelatih cewek😮,2025-12-18T12:07:17Z,Youtube,Negative
Paling g suka nntn chanel si paling A1 (si penyembah sty)...pemikiran jadul g bisa moveON😂,2025-12-18T12:08:49Z,Youtube,Negative
"CATAT !!
 SIAPA PUN PELATIH NYA,GAK BAKALAN BISA MASUK PIALA DUNIA !! SAMPAI KAPAN PUN !!
 KARENA PSSI HANYA UNTUK KENDARA'AN POLITIK BUSUK !!",2025-12-18T21:18:01Z,Youtube,Negative
"dah lah malez...
 pensi dlu dri timnas..
 🏳️🏴‍☠️
 muak liat mukanya dah tebel...
 Ketum semena2...
 🏳️🚶
 pling lama ini pelatih 8 bulan...
 🤣😂🤣😂",2025-12-18T12:27:06Z,Youtube,Negative
😂😂😂 PESIMIS 100%,2025-12-18T08:51:02Z,Youtube,Negative
Menurut ku hanya Shin Tae Yong yg mampu melatih Timnas Indonesia ‼️‼️‼️🩵🩵👍👍☺️☺️,2025-12-18T11:44:08Z,Youtube,Negative
yg bayar pelatih ya fans timnas🥰🥰🥰,2025-12-20T13:17:58Z,Youtube,Neutral
Sehenat apapun pelatihnya...kalau bahanya tidak berkualitas..sampai kapanpun tidak akan maju,2025-12-21T03:32:34Z,Youtube,Neutral
Bagai mana ye Nnti kalau bner jonh herdman megang timnas ...apa lebih baik dari sty....untuk bawa kedepannya labih baik kah,2025-12-21T06:04:04Z,Youtube,Neutral
PSSI saat ini harus support tugas dirtek. Lolos piala dunia zona asia itu butuh latarbelakang performa tim di piala asia & QWC. Top 8 Asia yg lolos pildun 2026 punya latar belakang itu sedangkan Indonesia berada di 12 besar. Semoga piala asia 2027 & QWC 2030 hasilnya bagus..,2025-12-21T04:52:02Z,Youtube,Neutral
Kenapa sepakbola Indonesia tidak maju maju? Ya memang SDM sepakbolanya rendah.,2025-12-21T06:06:49Z,Youtube,Neutral
Nirwan Bakrie !!!😂😂😂,2025-12-21T11:00:33Z,Youtube,Neutral
Oh oke bung sudah dicatat,2025-12-21T03:11:40Z,Youtube,Neutral
Salah satu juga yg buat ga maju ada pnganat mau kritik ahabis2an giliran dikritik bawa2 polisi...,2025-12-21T07:45:46Z,Youtube,Neutral
Ladang Chuan 😅,2025-12-21T11:04:03Z,Youtube,Neutral
"Salahnya itu dari dulu selalu datengin pelatih dunia yg punya track record bagus dgn berharap prestasi datang tapi lupa kalo yg jadi kunci utama itu fondasinya..sepakbola dalam negeri yg tersistem dgn baik,federasi yg bersih dari mafia dan korupsi, dll. Memang sulit tapi harus dimulai. Kalo gak gitu ya tetep gini2 aja. Sekelas Mourinho atau Guardiola pun andaikan dikontrak jd pelatih timnas trus gagal..ujung2nya dipecat lagi",2025-12-21T02:04:22Z,Youtube,Neutral
"Yang penting bukan idolanya TIWEL si klipet,melawan arab gk ful tim,melawan irak full tim. Klipet di bayar oleh arab lebih tinggi dari gajinya",2025-12-20T06:55:06Z,Youtube,Negative
Pssi masih perlu pembuktian..padahal sdh terbukti gagal pasca Sty...perlu gagal lagi baru sadar..sty the best,2025-12-18T11:45:33Z,Youtube,Negative
"Saya harap Exco PSSI yg sering gembar gembor itu untuk diam kali ini,jangan banyak bacot yg besar agar pendukung tidak berexpectasi tinggi pada pelatih baru,takutnya klo hasilnya gak sesuai,maka kasihan pada pelatih ini yg akan menjadi sasaran hujatan pendukung yg berexpectasi tinggi
 
 Biarkan pendukung timnas yg menilai sendiri pelatih ini nantinya
 
 Exco PSSI sebaiknya diam saja,jangan banyak bacot
 
 Jangan ada lagi kata2 "" Tim kepelatihan terbaik"" jilid 2 Dari Exco PSSI si tukang bacot itu",2025-12-18T12:41:03Z,Youtube,Negative
"Gua suka kesel sih kebiasaan suporter indo klo timnas ganti pelatih pasti di hujat duluan
 Inget gua kala itu peralihan luis milla ke Shin tae young 
 Sempet gua inget ada yg bilang wah permainan indo akan balik lagi ke longball tai 
 Karena dulu kalian tergila² dgn tiki taka dan sempet ada yg ngomong sty pelatih gagal bla³
 Tapi akhirnya bagus selama 5 thn sty ngelatih dgn pencapaian yg positif 
 Tapi mungkin gagal sama patrick
 Dan sekarang ada john herdman yg menurut gua lebih bagus dari kluivert atau bahkan level herdman 1 tingkat di atas sty masih kalian hujat dan bandingin sama sty
 Gila move on hey anak anak
 Menurut gua dia pelatih bagus bos setidaknya kasih kontrak 5 tahun karena untuk jadi yg terhebat butuh proses
 Dan gua yakin indonesia bisa jauh lebih baik",2025-12-21T08:31:41Z,Youtube,Positive
"Jujur saja, pesimis dan muak bahas bola konoha. Mari kita lihat gambaran besarnya dulu. Dari awal bukan kita tidak bisa lolos pildun secara kemampuan, dan juga tidak meragukan kompetensi EnTe sebagai ketua. 
 TAPI...... 
 balik lagiiii, semua sebenarnya sudah tau ada faktor non teknis tapi kan tidak ada yang bisa membuktikan. Ingat saja., kalo ttep seperti ini tidak berubah dan tidak berintegritas. Sampai kapanpun tidak akan bisa sampe k pildun",2025-12-20T16:50:43Z,Youtube,Negative
Boikot timnas,2025-12-18T17:52:57Z,Youtube,Negative
"Semoga pssi blunder lagi hasilnya jelek tdk seperti yg diharapkan, balik kebelakang lihatlah Patrick Kluipet hasilnya pada ngelu mumet.. 
 Ayo pengamat bersatu utk koar koar caooo🎉🎉🎉",2025-12-19T01:10:09Z,Youtube,Negative
mending Timur Kapadze,2025-12-18T09:11:58Z,Youtube,Neutral
Yang penting JANGAN STAND UP COMEDY lagi kayak Sea games bosss?? TIMNAS KALAH MALAH yang disalahain pemainnya BOS?? MIKIR BOS Dari sabang sampai merauke kena MALU BOS?? MIKIR BOS,2025-12-20T12:15:42Z,Youtube,Negative
"Maaf bung mohon diralat. bukan masyarakat/suporter yg g sabar, tetapi oknum/orang2 PSSI itu sendiri yg g sabar melihat hasil dari buah kerja keras STY di kualifikasi piala dunia...dan juga mengenai isu di ruang ganti di jaman STY itu tidak ada. itu cuma di buat2 sendiri sama bapak Exco yg mengaku2 orang paling terakhir yg mempertahankan STY di timnas.",2025-12-18T08:43:10Z,Youtube,Negative
"Kembali ke 0 lagi ya kawan"" 😂😂😂",2025-12-18T12:03:32Z,Youtube,Negative
Yakin bisa??!,2025-12-18T11:52:32Z,Youtube,Negative
Pelatih gak mutu...maless,2025-12-20T14:27:23Z,Youtube,Negative
halah telat udh gaguna,2025-12-18T11:29:37Z,Youtube,Negative
"Waktunya BANGKIT meskipun beban Federasi gak ada HABISNYA, MENYALA TIMNASKU",2025-12-18T09:10:37Z,Youtube,Positive
Siap siap di bully..... masyarakat Indonesia berharap STY COMEBACK.. Karena tidak ada coach setulus Sty,2025-12-18T12:01:46Z,Youtube,Negative
Semoga PSSI bubar,2025-12-18T12:56:29Z,Youtube,Neutral
Sdh ngga tertarik dan peduli lg,2025-12-18T11:51:00Z,Youtube,Negative
G cocok bung pelatih dr eropa sekelas apapun yng SDH jelas aja pelatih dr asia baik itu korea jepang dan lainnya dr asia,2025-12-18T12:11:45Z,Youtube,Negative
"Kasihan bung ... bawa2 juga si Jeje ngonten bung 😂😂😂Harpa, Andre, EfendiGa,Justin Dkk...semoga cepat sembuh dan bangkit 🤣🤣🤣 semua tdk sesuai harapan x, klu tdk ingin melihat kesejukkan di PSSI dan Timnas kapan diumumkan pelatih baru, saat itu x bisa memulai untuk men-GEMBOSI kembali ...jalan terus timnas, jgn takut gagal, si Jeje sdh bisa di deport tu ...hahahaha...",2025-12-18T11:37:05Z,Youtube,Negative
Bila sang ketum pssi dr lingkaran istana ya gini2 aj prestasi spk bola kita jln d tempat klu pun ada kemajuan dikit psti balik kbelakang,2025-12-21T01:03:26Z,Youtube,Neutral
"Sepak bola Indonesia kayak benalu ngabis2in duit negara minim prestasi, cabang olahraga lain yg apa2 seadanya banyak yang nyumbang emas buat Indonesia.",2025-12-21T10:37:31Z,Youtube,Neutral
Kali ini gw setuju sty di kesamping kan karena ga pernah juara 😂😂,2025-12-21T01:44:20Z,Youtube,Neutral
Penyebabnya eric tohis si paling egois,2025-12-21T11:12:09Z,Youtube,Negative
Ya macam kamu salah satunya penyebab sepak bola kita gak maju...dikit dikit kritik dikit dikit kritik.sama komentator yang gak ngerti bola ikut ikut koar koar...tau sendirilah yang Laen sapa...🫵,2025-12-21T00:34:54Z,Youtube,Neutral
PERCAYA ATAU TIDAK SIAPA PUN YG AKAN LATI TIMNAS INDONESIA KALAU TERLALU BANYA CAMPUR TANGAN DAN KOMENTAR 2 SEPERTI PEGAMAT 2 BOLA YG SOK LEBIH TAU DARI PADA PELATI.SEPAK BOLA KITA TIDAK AKAN MAJU 2.JALAN DI TEMPAT.,2025-12-21T04:18:59Z,Youtube,Neutral
"YAKIN PSSI BERHASIL
 😂😂😂
 BERHASIL BAYAR KOMPENSASI LAGI",2025-12-21T00:56:35Z,Youtube,Negative
percuma kalau melampaui ekspektasi nanti di tengah jalan di recokin😀😀😀,2025-12-21T03:22:51Z,Youtube,Neutral
"Isi nya PSSI dan Exco orang non bola.. kebanyakan pejabat politik..,pengusaha .pikiran nya hasil kan uang..ga bakal maju... Otak cuma mikir amplok..😂😂😂.. 
 Ga benar ngaur ... KLO isi PSSI dan Exco orang benar bola pemain bola ..... Dlm tangan maju",2025-12-21T07:24:31Z,Youtube,Negative
"Shbat apapun platihny,klo jajaran pngrs pssi'nya cmn cri duit dan ktumnya tkut klah pamor sma platihny,di pstikn gk bkln mju sepakbola indonesia",2025-12-21T05:44:22Z,Youtube,Neutral
Sepak bola indonesia itu itu aja..maju mundur maju mundurr,2025-12-21T08:48:06Z,Youtube,Neutral
negara terbesar asean.. tp sepak bola nya gk maju2 .. krna org konoha pengurusnya gk beres..,2025-12-20T18:07:55Z,Youtube,Neutral
"Klu menurut saya,sepanjang pemain muda berbakat jarang dpt menit bermain d club,susah utk timnas maju,siapa pun pelatih nya",2025-12-20T14:09:32Z,Youtube,Neutral
Bayar dari kocek sendiri hasil dari kenuntungan bandar judi....,2025-12-20T22:34:03Z,Youtube,Neutral
Nggak maju2 karena pengamatnya lebih pintar2!!!,2025-12-20T14:10:47Z,Youtube,Neutral
Hanya'sty yg gak bisa d atur d titipin pemain itulah para mafia melawan dan mafia pemenangnya,2025-12-21T05:44:52Z,Youtube,Neutral
Favnya IS kemarin gatot..boleh di komen pak AS,2025-12-21T06:40:24Z,Youtube,Neutral
Dari kecil Kurang makan protein pemain kita tapi kebanyakan kalori iya. Coba tanya jepang sama korea makannya rata2 seperti apa?,2025-12-20T17:09:21Z,Youtube,Neutral
"Terus pengamat gak salah gitu, kadang pengamat bola se enaknya bicara ,mental pemain kadang kena",2025-12-21T07:47:16Z,Youtube,Neutral
Coba pemain timnas jadi pns otomatis setelah usia 30thn...,2025-12-21T04:56:28Z,Youtube,Neutral
"ET Out... 
 seenaknya saja coba2 dg mempertaruhkan nasib sepak bola Indonesia... 
 Gak peduli kalo dia membayar kerugian dari segi finansial soal kompensasi pelatih..
 Harapan yg pupus dan sakit hati masyarakat gak bisa dibayar / dibandingkan dengan materi...",2025-12-20T22:31:42Z,Youtube,Negative
Sepakbola indonesia dak maju..byk org pinter ngomong..daripada praktek...nya...nol besar...,2025-12-21T05:45:41Z,Youtube,Negative
"pntas g maju"",,,",2025-12-21T00:25:11Z,Youtube,Negative
"Ini pelatih nnti proses lagi. Udah jadi pecat lg. Gnti platih proses dn pecat lagi. Uda lumrah d indonesia. Contoh d lingkungn msyarakt sndiri. Saling sikut""n. Uda lumrah g c budaya Indonesia",2025-12-21T10:21:33Z,Youtube,Neutral
PSSI ladang cari uang .. bola nyungsep..,2025-12-21T08:34:45Z,Youtube,Negative
"Anda percaya pengamat ,,?? 
 
 Klo aku ngga ,,😂😂 angin brllu skrang A d ksih tmpat B ,, bulsit semua ,, klo mmang mau mmbngun turun tngani timnas jd pngurus ,",2025-12-21T06:32:26Z,Youtube,Neutral
"Termasuk anda yg ikut terlibat pemecatan sty,sering menghujat terhadap sty",2025-12-21T05:24:53Z,Youtube,Neutral
Lu ngomongnya lokal lokal melulu..yg jelas kl bukan naturisasi jgn mimpi unjuk gigi di asia..karena lokal sudah hampir 40 tahun tak BS ngapa ngapain..lu aja pelatih timnas no mau ngak..,2025-12-20T17:17:45Z,Youtube,Neutral
Indonesia ga bakal maju. Soale banyak mafia.,2025-12-21T07:44:06Z,Youtube,Negative
Kurang kerjaan,2025-12-21T05:17:05Z,Youtube,Negative
"Prestasi dia apa ya ? Jadi pelatih canada tapi kenapa tidak terpakai untuk piala dunia ya ? Prestasi lainnya cuma pernah melatih team wanita canada dan team kelompok umur New Zealand ? Di level club apakah dia pernah jadi manager di club besar eropa ? Mungkinkah pelatih yg diincar PSSI minta upah yang besar karena track record nya moncer sehingga PSSI tidak sangggup bayar ? Hati2 PSSI jangan sampe terjadi lagi PK jilid 2 ya, ingat ditahun 2027 mau ada AFC cup",2025-12-18T11:47:55Z,Youtube,Negative
KELIATAN NYA SIH BAKAL AMBURADUL,2025-12-18T11:47:09Z,Youtube,Negative
ET katanya org bola tp kok g paham bola y.. Pilih pelatih kok abal2 smw... Dah kelihatan bakal jd sampah baru,2025-12-19T17:41:40Z,Youtube,Negative
Kalau ET masih Ketum PSSI tidak bakalan maju,2025-12-18T11:38:45Z,Youtube,Neutral
Feeling sy timnas makin hancur 😂,2025-12-18T12:03:12Z,Youtube,Negative
Welcome Coach JH🤣🤣🤣🙏,2025-12-18T10:49:09Z,Youtube,Positive
BBB (binder beneran botak) hahahah,2025-12-18T09:30:58Z,Youtube,Neutral
